"articlenumber_value","price","special_price","releasedate"
"AO2810","39",,"2016-01-01 00:00:00"
"AO2825","29",,"2016-01-02 00:00:00"
"AO2919","209",,"2016-15-02 00:00:00"
"AO2921","79",,"2016-15-02 00:00:00"
"AO3414","35",,"2016-01-02 00:00:00"
"AO3468","69",,"2016-01-01 00:00:00"
"AO3801","109",,"2016-15-02 00:00:00"
"AO3933","40",,"2016-01-02 00:00:00"
"AO3934","19",,"2016-01-01 00:00:00"
"AO4054","59",,"2016-01-02 00:00:00"
"AP0509","129",,"2016-01-02 00:00:00"
"AP8544","209",,"2016-15-02 00:00:00"
"AP9775","119",,"2016-01-02 00:00:00"
"AQ1362","89",,"2016-01-01 00:00:00"
"AQ1430","89",,"2016-01-01 00:00:00"
"AQ1489","99",,"2016-01-02 00:00:00"
"AQ1490","99",,"2016-01-02 00:00:00"
"AQ1491","99",,"2016-01-02 00:00:00"
"AQ1557","89",,"2016-01-02 00:00:00"
"AQ2083","169",,"2016-05-02 00:00:00"
"AQ2317","99",,"2016-01-01 00:00:00"
"AQ2551","189",,"2016-29-01 00:00:00"
"AQ2555","129",,"2016-29-01 00:00:00"
"AQ2557","129",,"2016-29-01 00:00:00"
"AQ2561","99",,"2016-29-01 00:00:00"
"AQ2565","99",,"2016-29-01 00:00:00"
"AQ2566","99",,"2016-29-01 00:00:00"
"AQ2590","129",,"2016-29-01 00:00:00"
"AQ2663","399",,"2016-26-02 00:00:00"
"AQ2669","459",,"2016-29-01 00:00:00"
"AQ2915","189",,"2016-01-01 00:00:00"
"AQ3082","399",,"2016-29-01 00:00:00"
"AQ3490","239",,"2016-29-01 00:00:00"
"AQ3925","129",,"2016-29-01 00:00:00"
"AQ4439","179",,"2016-01-02 00:00:00"
"AQ4440","179",,"2016-01-02 00:00:00"
"AQ4441","179",,"2016-01-02 00:00:00"
"AQ4442","179",,"2016-01-02 00:00:00"
"AQ4823","59",,"2016-01-01 00:00:00"
"AQ4845","69",,"2016-01-02 00:00:00"
"AQ4878","139",,"2016-01-01 00:00:00"
"AQ4895","159",,"2016-05-02 00:00:00"
"AQ4901","109",,"2016-05-02 00:00:00"
"AQ4935","49",,"2016-01-02 00:00:00"
"AQ4936","49",,"2016-01-02 00:00:00"
"AQ5050","49",,"2016-01-02 00:00:00"
"AQ5064","299",,"2016-29-01 00:00:00"
"AQ5069","79",,"2016-05-02 00:00:00"
"AQ5151","399",,"2016-29-01 00:00:00"
"AQ5256","35",,"2016-01-01 00:00:00"
"AQ5671","169",,"2016-29-01 00:00:00"
"AQ5672","229",,"2016-01-01 00:00:00"
"AQ6279","89",,"2016-01-02 00:00:00"
"AQ6280","69",,"2016-01-02 00:00:00"
"AQ6680","169",,"2016-03-02 00:00:00"
"AQ6681","169",,"2016-03-02 00:00:00"
"AQ6682","169",,"2016-03-02 00:00:00"
"AQ6722","169",,"2016-01-02 00:00:00"
"AQ6723","169",,"2016-01-02 00:00:00"
"AQ6724","169",,"2016-01-02 00:00:00"
"AQ6726","169",,"2016-11-02 00:00:00"
"AQ6761","179",,"2016-24-02 00:00:00"
"AQ6763","179",,"2016-24-02 00:00:00"
"AQ6787","179",,"2016-01-01 00:00:00"
"AQ7412","249",,"2016-01-02 00:00:00"
"AQ8212","169",,"2016-12-02 00:00:00"
"AQ8489","139",,"2016-01-01 00:00:00"
"AQ8490","139",,"2016-01-02 00:00:00"
"AQ8498","109",,"2016-01-01 00:00:00"
"AQ8598","135",,"2016-01-02 00:00:00"
"AQ8723","189",,"2016-07-01 00:00:00"
"AQ8730","149",,"2016-01-02 00:00:00"
"AZ3246","119",,"2016-01-02 00:00:00"
"AZ4939","49",,"2016-01-02 00:00:00"
"AZ4941","49",,"2016-01-02 00:00:00"
"AZ4943","49",,"2016-01-02 00:00:00"
"AZ4946","89",,"2016-01-02 00:00:00"
